drainage_area,slope,log_area,log_slope
9.342875,0.608625,2.234614,-0.496553
11.156940,0.607603,2.412062,-0.498233
13.592356,0.606396,2.609508,-0.500223
16.791088,0.605035,2.820848,-0.502469
20.722649,0.603613,3.031227,-0.504822
25.130291,0.602273,3.224074,-0.507044
29.564011,0.601176,3.386558,-0.508867
33.507545,0.600445,3.511771,-0.510084
36.554325,0.600121,3.598800,-0.510624
38.536324,0.600162,3.651601,-0.510555
39.532806,0.600484,3.677131,-0.510020
39.776688,0.600992,3.683281,-0.509174
39.533512,0.601611,3.677149,-0.508143
39.017246,0.602293,3.664004,-0.507012
38.363144,0.603008,3.647097,-0.505825
37.642513,0.603743,3.628134,-0.504606
36.891190,0.604492,3.607973,-0.503366
36.132137,0.605249,3.587183,-0.502115
35.385506,0.606006,3.566302,-0.500865
34.669746,0.606757,3.545867,-0.499626
33.997902,0.607496,3.526299,-0.498409
33.373844,0.608221,3.507772,-0.497218
32.791946,0.608930,3.490183,-0.496051
32.241489,0.609628,3.473254,-0.494906
31.712641,0.610316,3.456715,-0.493779
31.200127,0.610993,3.440422,-0.492670
30.703337,0.611659,3.424371,-0.491581
30.224487,0.612310,3.408652,-0.490517
29.766376,0.612944,3.393379,-0.489482
29.331306,0.613557,3.378655,-0.488482
28.920979,0.614147,3.364567,-0.487521
28.536770,0.614711,3.351193,-0.486604
28.179871,0.615245,3.338608,-0.485734
27.851593,0.615749,3.326890,-0.484916
27.553383,0.616219,3.316125,-0.484153
27.286943,0.616653,3.306408,-0.483449
27.054199,0.617048,3.297842,-0.482809
26.857038,0.617402,3.290528,-0.482235
26.697565,0.617714,3.284572,-0.481730
26.577887,0.617981,3.280080,-0.481298
26.499990,0.618202,3.277144,-0.480940
26.465773,0.618375,3.275852,-0.480659
26.476723,0.618501,3.276266,-0.480457
26.534178,0.618577,3.278434,-0.480333
26.639181,0.618605,3.282383,-0.480288
26.792309,0.618584,3.288115,-0.480322
26.993757,0.618515,3.295606,-0.480434
27.243580,0.618400,3.304818,-0.480620
27.541800,0.618239,3.315705,-0.480879
27.887716,0.618037,3.328186,-0.481207
28.279778,0.617795,3.342147,-0.481599
28.715219,0.617517,3.357427,-0.482049
29.189974,0.617207,3.373825,-0.482550
29.698624,0.616870,3.391101,-0.483097
30.235401,0.616508,3.409013,-0.483683
30.795252,0.616126,3.427361,-0.484303
31.374838,0.615727,3.446006,-0.484951
31.973888,0.615313,3.464920,-0.485625
32.594891,0.614884,3.484156,-0.486322
33.242294,0.614441,3.503823,-0.487042
33.922760,0.613985,3.524086,-0.487785
34.645222,0.613514,3.545160,-0.488552
35.420185,0.613028,3.567282,-0.489345
36.257652,0.612524,3.590650,-0.490167
37.165695,0.612004,3.615386,-0.491017
38.152985,0.611466,3.641604,-0.491896
39.232746,0.610910,3.669512,-0.492805
40.427895,0.610338,3.699520,-0.493743
41.768391,0.609753,3.732140,-0.494701
43.270443,0.609171,3.767470,-0.495657
44.886448,0.608626,3.804136,-0.496551
46.436981,0.608191,3.838096,-0.497267
47.578350,0.607967,3.862378,-0.497634
47.889481,0.608068,3.868896,-0.497469
47.099529,0.608559,3.852263,-0.496661
45.298767,0.609417,3.813280,-0.495252
42.917824,0.610524,3.759287,-0.493437
40.480618,0.611723,3.700823,-0.491475
38.359737,0.612877,3.647008,-0.489591
36.695919,0.613905,3.602666,-0.487915
35.455544,0.614783,3.568280,-0.486485
34.529171,0.615525,3.541805,-0.485280
33.805870,0.616155,3.520634,-0.484257
33.207207,0.616696,3.502767,-0.483378
32.690857,0.617166,3.487095,-0.482618
32.238766,0.617571,3.473170,-0.481961
31.843805,0.617919,3.460843,-0.481397
31.501816,0.618213,3.450045,-0.480922
31.209440,0.618457,3.440721,-0.480528
30.963707,0.618652,3.432816,-0.480213
30.762133,0.618800,3.426284,-0.479972
30.602812,0.618904,3.421092,-0.479804
30.484659,0.618965,3.417224,-0.479707
30.407444,0.618981,3.414687,-0.479680
30.371374,0.618954,3.413501,-0.479725
30.376898,0.618882,3.413682,-0.479840
30.424768,0.618767,3.415257,-0.480027
30.515942,0.618606,3.418249,-0.480286
30.651705,0.618401,3.422688,-0.480617
30.833750,0.618153,3.428610,-0.481020
31.064054,0.617860,3.436051,-0.481493
31.343983,0.617528,3.445022,-0.482031
31.674194,0.617159,3.455502,-0.482628
32.054123,0.616760,3.467426,-0.483275
32.480858,0.616340,3.480651,-0.483957
32.947681,0.615909,3.494921,-0.484656
33.443108,0.615483,3.509846,-0.485348
33.950745,0.615078,3.524911,-0.486007
34.449741,0.614711,3.539501,-0.486603
34.917789,0.614401,3.552996,-0.487107
35.334179,0.614161,3.564851,-0.487497
35.682549,0.614004,3.574662,-0.487755
35.952244,0.613934,3.582191,-0.487867
36.138180,0.613957,3.587350,-0.487831
36.239559,0.614070,3.590151,-0.487647
36.259331,0.614271,3.590697,-0.487319
36.202438,0.614556,3.589126,-0.486856
